"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 10- 01","32.02","33.00","34.53","28.50","","1.27%"
"2022- 09- 01","31.62","26.88","34.88","22.64","","22.23%"
"2022- 08- 01","25.87","22.41","27.69","19.12","","21.28%"
"2022- 07- 01","21.33","29.53","29.82","21.21","","-25.71%"
"2022- 06- 01","28.71","26.05","35.05","23.74","","9.62%"
"2022- 05- 01","26.19","33.35","36.64","24.94","","-21.59%"
"2022- 04- 01","33.40","20.62","34.34","18.45","","62.45%"
"2022- 03- 01","20.56","29.45","37.52","18.67","","-31.81%"
"2022- 02- 01","30.15","24.57","37.79","19.93","","21.43%"
"2022- 01- 01","24.83","17.60","38.94","16.34","","44.19%"
"2021- 12- 01","17.22","24.92","35.32","16.62","","-36.67%"
"2021- 11- 01","27.19","16.85","28.99","14.73","","67.22%"
"2021- 10- 01","16.26","24.78","24.89","14.84","","-29.73%"
"2021- 09- 01","23.14","16.06","28.79","15.68","","40.41%"
"2021- 08- 01","16.48","18.16","24.74","15.19","","-9.65%"
"2021- 07- 01","18.24","15.62","25.09","14.25","","15.22%"
"2021- 06- 01","15.83","17.24","21.82","14.10","","-5.55%"
"2021- 05- 01","16.76","18.65","28.93","15.90","","-9.94%"
"2021- 04- 01","18.61","18.60","19.90","15.38","","-4.07%"
"2021- 03- 01","19.40","25.20","31.90","18.68","","-30.59%"
"2021- 02- 01","27.95","31.45","33.96","19.69","","-15.53%"
"2021- 01- 01","33.09","23.04","37.51","21.09","","45.45%"
"2020- 12- 01","22.75","20.21","31.46","19.97","","10.60%"
"2020- 11- 01","20.57","38.57","38.78","19.51","","-45.90%"
"2020- 10- 01","38.02","25.78","41.16","24.03","","44.18%"
"2020- 09- 01","26.37","25.86","38.28","24.84","","-0.15%"
"2020- 08- 01","26.41","25.75","27.09","20.28","","7.97%"
"2020- 07- 01","24.46","30.96","33.67","23.55","","-19.62%"
"2020- 06- 01","30.43","28.94","44.44","23.54","","10.61%"
"2020- 05- 01","27.51","38.17","40.32","25.92","","-19.44%"
"2020- 04- 01","34.15","57.38","60.59","30.54","","-36.22%"
"2020- 03- 01","53.54","34.86","85.47","24.93","","33.48%"
"2020- 02- 01","40.11","18.64","49.48","13.38","","112.90%"
"2020- 01- 01","18.84","13.46","19.99","11.75","","36.72%"
"2019- 12- 01","13.78","12.69","17.99","11.71","","9.19%"
"2019- 11- 01","12.62","12.99","14.17","11.42","","-4.54%"
"2019- 10- 01","13.22","16.02","21.46","12.19","","-18.60%"
"2019- 09- 01","16.24","20.96","21.15","13.31","","-14.44%"
"2019- 08- 01","18.98","15.41","24.81","13.73","","17.74%"
"2019- 07- 01","16.12","13.85","16.55","11.69","","6.90%"
"2019- 06- 01","15.08","19.41","19.75","13.19","","-19.40%"
"2019- 05- 01","18.71","12.86","23.38","12.74","","42.61%"
"2019- 04- 01","13.12","13.90","14.39","11.03","","-4.30%"
"2019- 03- 01","13.71","14.57","18.33","12.37","","-7.24%"
"2019- 02- 01","14.78","16.63","17.89","13.44","","-10.80%"
"2019- 01- 01","16.57","27.54","28.53","16.54","","-34.82%"
"2018- 12- 01","25.42","16.04","36.20","15.94","","40.68%"
"2018- 11- 01","18.07","20.96","23.81","16.09","","-14.88%"
"2018- 10- 01","21.23","11.99","28.84","11.34","","75.17%"
"2018- 09- 01","12.12","13.13","15.63","11.10","","-5.75%"
"2018- 08- 01","12.86","13.09","16.86","10.17","","0.23%"
"2018- 07- 01","12.83","17.70","18.08","11.44","","-20.26%"
"2018- 06- 01","16.09","14.92","19.61","11.22","","4.28%"
"2018- 05- 01","15.43","15.78","18.78","10.91","","-3.14%"
"2018- 04- 01","15.93","21.07","25.72","14.57","","-20.23%"
"2018- 03- 01","19.97","19.96","26.22","13.31","","0.60%"
"2018- 02- 01","19.85","13.05","50.30","12.50","","46.60%"
"2018- 01- 01","13.54","10.95","15.42","8.92","","22.64%"
"2017- 12- 01","11.04","11.19","14.58","8.90","","-2.13%"
"2017- 11- 01","11.28","9.79","14.51","8.56","","10.81%"
"2017- 10- 01","10.18","9.59","13.20","9.11","","7.05%"
"2017- 09- 01","9.51","10.33","14.06","9.36","","-10.20%"
"2017- 08- 01","10.59","10.19","17.28","9.52","","3.22%"
"2017- 07- 01","10.26","11.07","13.05","8.84","","-8.23%"
"2017- 06- 01","11.18","10.42","15.16","9.37","","7.40%"
"2017- 05- 01","10.41","10.92","16.30","9.56","","-3.79%"
"2017- 04- 01","10.82","12.59","16.28","10.22","","-12.53%"
"2017- 03- 01","12.37","12.31","15.11","10.60","","-4.26%"
"2017- 02- 01","12.92","11.79","12.96","9.97","","7.76%"
"2017- 01- 01","11.99","14.07","14.07","10.30","","-14.60%"
"2016- 12- 01","14.04","13.40","14.72","10.93","","5.33%"
"2016- 11- 01","13.33","16.54","23.01","12.16","","-21.86%"
"2016- 10- 01","17.06","13.75","17.95","12.21","","28.37%"
"2016- 09- 01","13.29","13.07","20.51","11.65","","-0.97%"
"2016- 08- 01","13.42","11.89","14.93","11.02","","13.06%"
"2016- 07- 01","11.87","15.59","17.04","11.40","","-24.06%"
"2016- 06- 01","15.63","14.45","26.72","12.72","","10.15%"
"2016- 05- 01","14.19","16.33","17.65","13.04","","-9.62%"
"2016- 04- 01","15.70","15.23","17.09","12.50","","12.54%"
"2016- 03- 01","13.95","19.84","20.17","13.06","","-32.12%"
"2016- 02- 01","20.55","21.32","30.90","18.38","","1.73%"
"2016- 01- 01","20.20","22.48","32.09","19.25","","10.93%"
"2015- 12- 01","18.21","15.61","26.81","14.45","","12.90%"
"2015- 11- 01","16.13","15.41","20.67","13.67","","7.03%"
"2015- 10- 01","15.07","23.14","25.23","12.80","","-38.49%"
"2015- 09- 01","24.50","31.91","33.82","17.87","","-13.82%"
"2015- 08- 01","28.43","12.85","53.29","10.88","","134.57%"
"2015- 07- 01","12.12","16.63","20.05","11.71","","-33.52%"
"2015- 06- 01","18.23","13.92","19.80","11.93","","31.72%"
"2015- 05- 01","13.84","13.98","16.36","11.82","","-4.88%"
"2015- 04- 01","14.55","15.32","16.66","12.12","","-4.84%"
"2015- 03- 01","15.29","13.90","17.19","12.54","","14.62%"
"2015- 02- 01","13.34","20.89","22.81","12.86","","-36.39%"
"2015- 01- 01","20.97","17.76","23.43","15.52","","9.22%"
"2014- 12- 01","19.20","14.16","25.20","11.53","","44.04%"
"2014- 11- 01","13.33","14.41","15.93","11.91","","-4.99%"
"2014- 10- 01","14.03","16.44","31.06","13.72","","-13.98%"
"2014- 09- 01","16.31","12.32","17.08","11.52","","36.14%"
"2014- 08- 01","11.98","16.67","17.57","11.24","","-29.32%"
