"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1992년 9월","83.100","79.100","88.050","78.430","30.43K","5.03%"
"1992년 8월","79.120","82.650","83.200","78.950","32.59K","-4.20%"
"1992년 7월","82.590","84.780","85.090","81.500","49.99K","-2.58%"
"1992년 6월","84.780","87.450","88.100","84.340","50.04K","-3.11%"
"1992년 5월","87.500","90.250","90.350","86.960","56.60K","-3.13%"
"1992년 4월","90.330","90.760","91.820","89.280","65.86K","-0.61%"
"1992년 3월","90.880","89.570","92.950","89.000","60.49K","1.75%"
"1992년 2월","89.320","87.940","90.550","85.830","55.14K","1.03%"
"1992년 1월","88.410","84.470","89.730","83.870","76.10K","4.39%"
"1991년 12월","84.690","87.730","88.140","84.400","23.50K","-4.16%"
"1991년 11월","88.370","90.320","90.340","86.540","61.92K","-2.38%"
"1991년 10월","90.520","90.940","92.850","90.220","60.30K","-0.22%"
"1991년 9월","90.720","93.360","93.500","89.980","35.63K","-3.13%"
"1991년 8월","93.650","94.180","97.000","92.330","53.46K","-0.45%"
"1991년 7월","94.070","96.970","98.230","93.530","60.96K","-3.01%"
"1991년 6월","96.990","93.970","97.400","93.150","35.05K","3.87%"
"1991년 5월","93.380","91.740","94.200","91.020","66.44K","1.36%"
"1991년 4월","92.130","92.190","95.190","90.040","89.07K","-0.92%"
"1991년 3월","92.990","84.960","93.500","84.350","36.29K","10.24%"
"1991년 2월","84.350","82.610","84.530","80.600","34.61K","2.48%"
"1991년 1월","82.310","83.790","86.000","82.300","56.45K","-1.88%"
"1990년 12월","83.890","83.690","85.940","81.780","23.82K","1.01%"
"1990년 11월","83.050","83.830","83.850","81.460","32.12K","-0.61%"
"1990년 10월","83.560","85.650","86.100","82.200","57.53K","-3.42%"
"1990년 9월","86.520","86.740","87.540","84.700","31.99K","-0.38%"
"1990년 8월","86.850","87.760","89.220","85.100","41.39K","-0.66%"
"1990년 7월","87.430","91.170","91.320","87.370","49.78K","-4.59%"
"1990년 6월","91.640","92.980","93.480","91.580","37.18K","-1.58%"
"1990년 5월","93.110","93.470","93.610","90.700","29.79K","-0.18%"
"1990년 4월","93.280","94.840","94.900","92.970","34.81K","-0.98%"
"1990년 3월","94.200","93.860","95.440","93.260","34.07K","0.76%"
"1990년 2월","93.490","92.730","93.650","91.500","40.54K","0.72%"
"1990년 1월","92.820","93.800","95.420","92.250","60.83K","-1.18%"
"1989년 12월","93.930","96.610","96.810","93.150","17.67K","-2.48%"
"1989년 11월","96.320","98.470","99.410","96.120","50.07K","-2.12%"
"1989년 10월","98.410","98.800","101.580","97.710","68.68K","-0.15%"
"1989년 9월","98.560","102.520","104.170","98.200","49.28K","-3.81%"
